stock_code,company_name,industry,address,market_type,market_cap_recent
A002150,도화엔지니어링,N20103.건설 및 엔지니어링,(06178) 서울시 강남구 삼성로 438,코스피,203668800000
A002170,삼양통상,"N25203.섬유, 의류, 사치품",(06152) 서울시 강남구 테헤란로 301,코스피,160500000000
A0021C0,ACE 장기자산배분액티브,,,코스피,12210000000
A0021D0,ACE TDF2030액티브,,,코스피,12592500000
A0021E0,ACE TDF2050액티브,,,코스피,25740000000
A002200,한국수출포장,N15103.용기와 포장지,(06651) 서울시 서초구 서초중앙로 63,코스피,125200000000
A002210,동성제약,N35202.제약,(01340) 서울시 도봉구 도봉로 683,코스피,25900780311
A002220,한일철강,N15104.금속과 채광,(04554) 서울시 중구 퇴계로27길 28,코스피,114799078000
A002230,피에스텍,N25101.자동차 부품,(04773) 서울시 성동구 왕십리로 46,코스닥,77191649100
A002240,고려제강,N15104.금속과 채광,(48212) 부산시 수영구 구락로141번길 37,코스피,487620000000
A002290,삼일기업공사,N20103.건설 및 엔지니어링,(06226) 서울시 강남구 언주로 329,코스닥,45260000000
A0022T0,SOL 국제금커버드콜액티브,,,코스피,47757500000
A002310,아세아제지,N15105.종이와 임산물,(06223) 서울시 강남구 논현로 430,코스피,310994849700
A002320,한진,N20304.도로 및 선로,(04532) 서울시 중구 남대문로 63,코스피,310794204000
A002350,넥센타이어,N25101.자동차 부품,(50592) 경남 양산시 충렬로 355,코스피,763762798140
A002360,SH에너지화학,N15101.화학,(54007) 전북 군산시 외항7길 20,코스피,41675148750
A002380,KCC,N20102.건축 제품,(06608) 서울시 서초구 사평대로 344,코스피,3616793697000
A002390,한독,N35202.제약,(06235) 서울시 강남구 테헤란로 132,코스피,162272054070
A0023A0,SOL 미국양자컴퓨팅TOP10,,,코스피,401197500000
A0023B0,PLUS 미국양자컴퓨팅TOP10,,,코스피,22680000000
A002410,범양건영,N20103.건설 및 엔지니어링,"(48795) 부산시 동구 초량중로 114, 105동 비102호,비104호 (초량동,범양레우스 센트럴베이)",코스피,53173451700
A002420,세기상사,N25500.소매,(04625) 서울시 중구 퇴계로 212,코스피,29849740000
A002450,삼익악기,N25202.레저용 제품,(27711) 충북 음성군 소이면 소이로 313,코스피,108637098000
A002460,HS화성,N20103.건설 및 엔지니어링,(42149) 대구시 수성구 동대구로 111,코스피,111650000000
A0025N0,TIGER TDF2045,,,코스피,357708000000
A002600,조흥,N30202.식품,(15410) 경기 안산시 단원구 시화로 38,코스피,90360000000
A002620,제일파마홀딩스,N40201.다각화된 금융 서비스,(06543) 서울시 서초구 사평대로 343,코스피,125870037400
A002630,오리엔트바이오,"N25203.섬유, 의류, 사치품",(13201) 경기 성남시 중원구 갈마치로 322,코스피,77553285270
A002680,한탑,N30202.식품,(48513) 부산시 남구 용소로 101,코스닥,23106511285
A002690,동일제강,N15104.금속과 채광,(17604) 경기 안성시 미양면 안성맞춤대로 474-40,코스피,32805381760
A0026E0,KODEX 미국S&P500버퍼3월액티브,,,코스피,73608750000
A0026S0,1Q 미국S&P500,,,코스피,154155000000
A002700,신일전자,N25501.판매업체,(31026) 충남 천안시 서북구 입장면 연곡길 308,코스피,92503872342
A002710,TCC스틸,N15104.금속과 채광,(37862) 경북 포항시 남구 괴동로 100,코스피,448778492640
A002720,국제약품,N35202.제약,(13517) 경기 성남시 분당구 야탑로 96-8,코스피,94584449040
A002760,보락,N15101.화학,(18628) 경기 화성시 양감면 초록로 720-37,코스피,61517300000
A002780,진흥기업,N20103.건설 및 엔지니어링,"(21995) 인천시 연수구 컨벤시아대로 69, 8층 807호 (송도동,송도밀레니엄)",코스피,94411162505
